$ build-storybook -s public --output-dir C:\Users\SILVIE~1.KUC\AppData\Local\Temp\chromatic--1456-cTKYqHn4M9RO
info @storybook/react v6.3.0
info 
info => Cleaning outputDir: C:\Users\SILVIE~1.KUC\AppData\Local\Temp\chromatic--1456-cTKYqHn4M9RO
info => Copying static files: ./public => ./
info => Loading presets
info => Compiling preview..
info => Loading 1 config file in "C:\Users\silvie.kucerova\ReactProjects\taskbox\.storybook"
info => Loading 9 other files in "C:\Users\silvie.kucerova\ReactProjects\taskbox\.storybook"
info => Adding stories defined in "C:\Users\silvie.kucerova\ReactProjects\taskbox\.storybook\main.js"
info => Loading Webpack configuration from `node_modules\react-scripts`
info => Removing existing JavaScript and TypeScript rules.
info => Modifying Create React App rules.
info => Using default Webpack4 setup
<s> [webpack.Progress] 0% compiling
<s> [webpack.Progress] 10% building 0/0 modules 0 active 
<s> [webpack.Progress] 10% building 0/1 modules 1 active multi C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\@storybook\core-client\dist\esm\globals\polyfills.js C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\@storybook\core-client\dist\esm\globals\globals.js C:\Users\silvie.kucerova\ReactProjects\taskbox\.storybook\storybook-init-framework-entry.js C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\@storybook\addon-docs\dist\esm\frameworks\common\config.js-generated-other-entry.js C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\@storybook\addon-docs\dist\esm\frameworks\react\config.js-generated-other-entry.js C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\@storybook\addon-links\dist\esm\preset\addDecorator.js-generated-other-entry.js C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\@storybook\addon-actions\dist\esm\preset\addDecorator.js-generated-other-entry.js C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\@storybook\addon-actions\dist\esm\preset\addArgs.js-generated-other-entry.js C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\@storybook\addon-backgrounds\dist\esm\preset\addDecorator.js-generated-other-entry.js C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\@storybook\addon-backgrounds\dist\esm\preset\addParameter.js-generated-other-entry.js C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\@storybook\addon-measure\dist\esm\preset\preview.js-generated-other-entry.js C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\storybook-addon-outline\dist\esm\preset\addDecorator.js-generated-other-entry.js C:\Users\silvie.kucerova\ReactProjects\taskbox\.storybook\preview.js-generated-config-entry.js C:\Users\silvie.kucerova\ReactProjects\taskbox\.storybook\generated-stories-entry.js
<s> [webpack.Progress] 10% building 1/1 modules 0 active 
<s> [webpack.Progress] 10% building 4/11 modules 7 active C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\@storybook\addon-measure\dist\esm\preset\preview.js-generated-other-entry.js
<s> [webpack.Progress] 10% building 5/11 modules 6 active C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\@storybook\addon-measure\dist\esm\preset\preview.js-generated-other-entry.js
<s> [webpack.Progress] 10% building 6/11 modules 5 active C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\@storybook\addon-measure\dist\esm\preset\preview.js-generated-other-entry.js
<s> [webpack.Progress] 10% building 7/11 modules 4 active C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\@storybook\addon-measure\dist\esm\preset\preview.js-generated-other-entry.js
<s> [webpack.Progress] 10% building 8/11 modules 3 active C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\react-scripts\node_modules\babel-loader\lib\index.js??ref--9-oneOf-2!C:\Users\silvie.kucerova\ReactProjects\taskbox\.storybook\generated-stories-entry.js
<s> [webpack.Progress] 10% building 8/12 modules 4 active C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\@storybook\addon-docs\dist\esm\frameworks\common\config.js-generated-other-entry.js
<s> [webpack.Progress] 10% building 8/13 modules 5 active C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\@storybook\addon-docs\dist\esm\frameworks\react\config.js-generated-other-entry.js
<s> [webpack.Progress] 11% building 9/13 modules 4 active C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\@storybook\addon-docs\dist\esm\frameworks\react\config.js-generated-other-entry.js
<s> [webpack.Progress] 11% building 10/13 modules 3 active C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\react-scripts\node_modules\babel-loader\lib\index.js??ref--9-oneOf-2!C:\Users\silvie.kucerova\ReactProjects\taskbox\.storybook\generated-stories-entry.js
<s> [webpack.Progress] 11% building 11/13 modules 2 active C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\react-scripts\node_modules\babel-loader\lib\index.js??ref--9-oneOf-2!C:\Users\silvie.kucerova\ReactProjects\taskbox\.storybook\generated-stories-entry.js
<s> [webpack.Progress] 11% building 11/14 modules 3 active C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\@storybook\core-client\dist\esm\globals\polyfills.js
<s> [webpack.Progress] 11% building 11/15 modules 4 active C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\@storybook\core-client\dist\esm\globals\globals.js
<s> [webpack.Progress] 11% building 12/15 modules 3 active C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\@storybook\core-client\dist\esm\globals\globals.js
<s> [webpack.Progress] 11% building 13/15 modules 2 active C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\@storybook\core-client\dist\esm\globals\globals.js
<s> [webpack.Progress] 11% building 13/16 modules 3 active C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\storybook-addon-outline\dist\esm\preset\addDecorator.js
<s> [webpack.Progress] 11% building 13/17 modules 4 active C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\@storybook\addon-links\dist\esm\preset\addDecorator.js
<s> [webpack.Progress] 11% building 13/18 modules 5 active C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\@storybook\addon-actions\dist\esm\preset\addDecorator.js
<s> [webpack.Progress] 11% building 13/19 modules 6 active C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\@storybook\addon-backgrounds\dist\esm\preset\addDecorator.js
<s> [webpack.Progress] 11% building 13/20 modules 7 active C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\@storybook\addon-actions\dist\esm\preset\addArgs.js
<s> [webpack.Progress] 11% building 13/21 modules 8 active C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\@storybook\addon-backgrounds\dist\esm\preset\addParameter.js
<s> [webpack.Progress] 11% building 13/22 modules 9 active C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\@storybook\addon-measure\dist\esm\preset\preview.js
<s> [webpack.Progress] 11% building 13/23 modules 10 active C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\@storybook\addon-docs\dist\esm\frameworks\common\config.js
<s> [webpack.Progress] 11% building 13/24 modules 11 active C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\@storybook\addon-docs\dist\esm\frameworks\react\config.js
<s> [webpack.Progress] 11% building 13/25 modules 12 active C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\react-scripts\node_modules\babel-loader\lib\index.js??ref--9-oneOf-2!C:\Users\silvie.kucerova\ReactProjects\taskbox\.storybook\preview.js
<s> [webpack.Progress] 11% building 13/26 modules 13 active C:\Users\silvie.kucerova\ReactProjects\taskbox\src\components sync /^\.(?:(?:^|[\\/]|(?:(?:(?!(?:^|[\\/])\.).)*?)[\\/])(?!\.)(?=.)[^\\/]*?\.stories\.js)$/
<s> [webpack.Progress] 11% building 14/26 modules 12 active C:\Users\silvie.kucerova\ReactProjects\taskbox\src\components sync /^\.(?:(?:^|[\\/]|(?:(?:(?!(?:^|[\\/])\.).)*?)[\\/])(?!\.)(?=.)[^\\/]*?\.stories\.js)$/
<s> [webpack.Progress] 11% building 15/26 modules 11 active C:\Users\silvie.kucerova\ReactProjects\taskbox\src\components sync /^\.(?:(?:^|[\\/]|(?:(?:(?!(?:^|[\\/])\.).)*?)[\\/])(?!\.)(?=.)[^\\/]*?\.stories\.js)$/
<s> [webpack.Progress] 11% building 16/26 modules 10 active C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\react-scripts\node_modules\babel-loader\lib\index.js??ref--9-oneOf-2!C:\Users\silvie.kucerova\ReactProjects\taskbox\.storybook\preview.js
<s> [webpack.Progress] 12% building 17/26 modules 9 active C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\react-scripts\node_modules\babel-loader\lib\index.js??ref--9-oneOf-2!C:\Users\silvie.kucerova\ReactProjects\taskbox\.storybook\preview.js
<s> [webpack.Progress] 12% building 18/26 modules 8 active C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\react-scripts\node_modules\babel-loader\lib\index.js??ref--9-oneOf-2!C:\Users\silvie.kucerova\ReactProjects\taskbox\.storybook\preview.js
<s> [webpack.Progress] 12% building 19/26 modules 7 active C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\react-scripts\node_modules\babel-loader\lib\index.js??ref--9-oneOf-2!C:\Users\silvie.kucerova\ReactProjects\taskbox\.storybook\preview.js
<s> [webpack.Progress] 12% building 20/26 modules 6 active C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\react-scripts\node_modules\babel-loader\lib\index.js??ref--9-oneOf-2!C:\Users\silvie.kucerova\ReactProjects\taskbox\.storybook\preview.js
<s> [webpack.Progress] 12% building 21/26 modules 5 active C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\react-scripts\node_modules\babel-loader\lib\index.js??ref--9-oneOf-2!C:\Users\silvie.kucerova\ReactProjects\taskbox\.storybook\preview.js
<s> [webpack.Progress] 12% building 22/26 modules 4 active C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\react-scripts\node_modules\babel-loader\lib\index.js??ref--9-oneOf-2!C:\Users\silvie.kucerova\ReactProjects\taskbox\.storybook\preview.js
<s> [webpack.Progress] 12% building 23/26 modules 3 active C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\react-scripts\node_modules\babel-loader\lib\index.js??ref--9-oneOf-2!C:\Users\silvie.kucerova\ReactProjects\taskbox\.storybook\preview.js
<s> [webpack.Progress] 12% building 24/26 modules 2 active C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\react-scripts\node_modules\babel-loader\lib\index.js??ref--9-oneOf-2!C:\Users\silvie.kucerova\ReactProjects\taskbox\.storybook\preview.js
<s> [webpack.Progress] 13% building 25/26 modules 1 active C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\react-scripts\node_modules\babel-loader\lib\index.js??ref--9-oneOf-2!C:\Users\silvie.kucerova\ReactProjects\taskbox\.storybook\preview.js
<s> [webpack.Progress] 13% building 25/27 modules 2 active C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\webpack\buildin\module.js
<s> [webpack.Progress] 13% building 26/27 modules 1 active C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\webpack\buildin\module.js
<s> [webpack.Progress] 13% building 27/27 modules 0 active 
<s> [webpack.Progress] 13% building 27/28 modules 1 active C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\@storybook\addon-links\dist\esm\index.js
<s> [webpack.Progress] 13% building 27/29 modules 2 active C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\storybook-addon-outline\dist\esm\withOutline.js
<s> [webpack.Progress] 13% building 27/30 modules 3 active C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\@storybook\addon-actions\dist\esm\preset\addArgsHelpers.js
<s> [webpack.Progress] 13% building 27/31 modules 4 active C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\@storybook\addon-actions\dist\esm\index.js
<s> [webpack.Progress] 13% building 27/32 modules 5 active C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\@storybook\addon-measure\dist\esm\withMeasure.js
<s> [webpack.Progress] 13% building 27/33 modules 6 active C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\@storybook\addon-docs\dist\esm\frameworks\common\enhanceArgTypes.js
<s> [webpack.Progress] 13% building 27/34 modules 7 active C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\react-scripts\node_modules\babel-loader\lib\index.js??ref--9-oneOf-2!C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\@storybook\source-loader\dist\cjs\index.js??ref--7!C:\Users\silvie.kucerova\ReactProjects\taskbox\src\components\InboxScreen.stories.js
<s> [webpack.Progress] 13% building 27/35 modules 8 active C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\react-scripts\node_modules\babel-loader\lib\index.js??ref--9-oneOf-2!C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\@storybook\source-loader\dist\cjs\index.js??ref--7!C:\Users\silvie.kucerova\ReactProjects\taskbox\src\components\Task.stories.js
<s> [webpack.Progress] 13% building 27/36 modules 9 active C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\react-scripts\node_modules\babel-loader\lib\index.js??ref--9-oneOf-2!C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\@storybook\source-loader\dist\cjs\index.js??ref--7!C:\Users\silvie.kucerova\ReactProjects\taskbox\src\components\TaskList.stories.js
<s> [webpack.Progress] 13% building 27/37 modules 10 active C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\@storybook\addon-docs\dist\esm\frameworks\react\extractArgTypes.js
<s> [webpack.Progress] 13% building 27/38 modules 11 active C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\@storybook\addon-docs\dist\esm\frameworks\react\jsxDecorator.js
<s> [webpack.Progress] 13% building 28/38 modules 10 active C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\@storybook\addon-docs\dist\esm\frameworks\react\jsxDecorator.js
<s> [webpack.Progress] 13% building 29/38 modules 9 active C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\@storybook\addon-docs\dist\esm\frameworks\react\jsxDecorator.js
<s> [webpack.Progress] 13% building 30/38 modules 8 active C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\@storybook\addon-docs\dist\esm\frameworks\react\jsxDecorator.js
<s> [webpack.Progress] 13% building 31/38 modules 7 active C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\@storybook\addon-docs\dist\esm\frameworks\react\jsxDecorator.js
<s> [webpack.Progress] 13% building 32/38 modules 6 active C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\@storybook\addon-docs\dist\esm\frameworks\react\jsxDecorator.js
<s> [webpack.Progress] 13% building 33/38 modules 5 active C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\@storybook\addon-docs\dist\esm\frameworks\react\jsxDecorator.js
<s> [webpack.Progress] 14% building 34/38 modules 4 active C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\@storybook\addon-docs\dist\esm\frameworks\react\jsxDecorator.js
<s> [webpack.Progress] 14% building 34/39 modules 5 active C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\react-scripts\node_modules\mini-css-extract-plugin\dist\loader.js??ref--9-oneOf-4-0!C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\react-scripts\node_modules\css-loader\dist\cjs.js??ref--9-oneOf-4-1!C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\react-scripts\node_modules\postcss-loader\src\index.js??postcss!C:\Users\silvie.kucerova\ReactProjects\taskbox\src\index.css
<s> [webpack.Progress] 14% building 35/39 modules 4 active C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\react-scripts\node_modules\mini-css-extract-plugin\dist\loader.js??ref--9-oneOf-4-0!C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\react-scripts\node_modules\css-loader\dist\cjs.js??ref--9-oneOf-4-1!C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\react-scripts\node_modules\postcss-loader\src\index.js??postcss!C:\Users\silvie.kucerova\ReactProjects\taskbox\src\index.css
<s> [webpack.Progress] 14% building 35/40 modules 5 active C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\webpack\buildin\harmony-module.js
<s> [webpack.Progress] 14% building 35/41 modules 6 active C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\regenerator-runtime\runtime.js
<s> [webpack.Progress] 14% building 36/41 modules 5 active C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\regenerator-runtime\runtime.js
<s> [webpack.Progress] 14% building 37/41 modules 4 active C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\regenerator-runtime\runtime.js
<s> [webpack.Progress] 14% building 38/41 modules 3 active C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\regenerator-runtime\runtime.js
Browserslist: caniuse-lite is outdated. Please run:
npx browserslist@latest --update-db

Why you should do it regularly:
https://github.com/browserslist/browserslist#browsers-data-updating
<s> [webpack.Progress] 14% building 38/42 modules 4 active C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\core-js\modules\es.array.slice.js
<s> [webpack.Progress] 14% building 38/43 modules 5 active C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\core-js\modules\es.object.freeze.js
<s> [webpack.Progress] 14% building 38/44 modules 6 active C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\core-js\modules\es.regexp.constructor.js
<s> [webpack.Progress] 14% building 38/45 modules 7 active C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\core-js\modules\es.regexp.to-string.js
<s> [webpack.Progress] 14% building 38/46 modules 8 active C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\core-js\modules\es.regexp.exec.js
<s> [webpack.Progress] 14% building 38/47 modules 9 active C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\core-js\modules\es.array.filter.js
<s> [webpack.Progress] 14% building 38/48 modules 10 active C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\core-js\modules\es.object.entries.js
<s> [webpack.Progress] 14% building 38/49 modules 11 active C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\core-js\modules\es.array.reduce.js
<s> [webpack.Progress] 14% building 38/50 modules 12 active C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\core-js\modules\es.symbol.js
<s> [webpack.Progress] 14% building 38/51 modules 13 active C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\core-js\modules\es.symbol.description.js
<s> [webpack.Progress] 14% building 38/52 modules 14 active C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\core-js\modules\es.object.to-string.js
<s> [webpack.Progress] 14% building 38/53 modules 15 active C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\core-js\modules\es.string.iterator.js
<s> [webpack.Progress] 14% building 38/54 modules 16 active C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\core-js\modules\es.symbol.iterator.js
<s> [webpack.Progress] 14% building 38/55 modules 17 active C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\core-js\modules\es.array.iterator.js
<s> [webpack.Progress] 14% building 38/56 modules 18 active C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\core-js\modules\web.dom-collections.iterator.js
<s> [webpack.Progress] 14% building 38/57 modules 19 active C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\core-js\modules\es.array.from.js
<s> [webpack.Progress] 14% building 38/58 modules 20 active C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\core-js\modules\es.function.name.js
<s> [webpack.Progress] 14% building 38/59 modules 21 active C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\@storybook\client-logger\dist\esm\index.js
<s> [webpack.Progress] 14% building 39/59 modules 20 active C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\@storybook\client-logger\dist\esm\index.js
<s> [webpack.Progress] 14% building 39/60 modules 21 active C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\@storybook\client-api\dist\esm\index.js
<s> [webpack.Progress] 14% building 39/61 modules 22 active C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\airbnb-js-shims\index.js
<s> [webpack.Progress] 14% building 39/62 modules 23 active C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\global\window.js
<s> [webpack.Progress] 14% building 40/62 modules 22 active C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\global\window.js
<s> [webpack.Progress] 14% building 41/62 modules 21 active C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\global\window.js
<s> [webpack.Progress] 15% building 42/62 modules 20 active C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\global\window.js
<s> [webpack.Progress] 15% building 43/62 modules 19 active C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\global\window.js
<s> [webpack.Progress] 15% building 44/62 modules 18 active C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\global\window.js
<s> [webpack.Progress] 15% building 45/62 modules 17 active C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\global\window.js
<s> [webpack.Progress] 15% building 46/62 modules 16 active C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\global\window.js
<s> [webpack.Progress] 15% building 47/62 modules 15 active C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\global\window.js
<s> [webpack.Progress] 15% building 48/62 modules 14 active C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\global\window.js
<s> [webpack.Progress] 15% building 49/62 modules 13 active C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\global\window.js
<s> [webpack.Progress] 16% building 50/62 modules 12 active C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\global\window.js
<s> [webpack.Progress] 16% building 51/62 modules 11 active C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\global\window.js
<s> [webpack.Progress] 16% building 52/62 modules 10 active C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\global\window.js
<s> [webpack.Progress] 16% building 53/62 modules 9 active C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\global\window.js
<s> [webpack.Progress] 16% building 54/62 modules 8 active C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\global\window.js
<s> [webpack.Progress] 16% building 55/62 modules 7 active C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\global\window.js
<s> [webpack.Progress] 16% building 56/62 modules 6 active C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\global\window.js
<s> [webpack.Progress] 16% building 57/62 modules 5 active C:\Users\silvie.kucerova\ReactProjects\taskbox\node_modules\global\window.js
